cluster_35,count,n1,n2,n3,n4,n5,grayscale
27,4770,7.02,5.09,9.32,17.78,5.94,0.59
22,6280,7.0,5.0,9.39,17.61,5.98,0.59
6,5666,6.99,5.0,9.63,17.89,5.97,0.56
17,3319,6.98,5.02,9.44,17.88,5.94,0.58
19,2154,6.97,4.98,9.03,16.99,5.91,0.64
26,3534,6.97,5.02,9.44,17.95,5.94,0.58
21,2958,6.97,4.98,9.62,17.89,5.97,0.57
31,2618,6.96,5.0,9.6,17.94,5.95,0.57
29,2384,6.96,4.94,9.54,17.71,5.93,0.58
23,3330,6.96,5.06,9.1,17.34,5.87,0.62
7,5886,6.96,5.01,9.37,17.8,5.93,0.58
14,5822,6.95,4.96,9.37,17.48,5.91,0.59
1,5795,6.95,5.02,9.32,17.81,5.92,0.59
0,2132,6.95,4.96,9.05,17.15,5.94,0.63
4,3032,6.95,4.95,9.67,17.53,5.87,0.58
34,5387,6.95,5.03,9.3,17.77,5.9,0.59
30,2226,6.94,4.94,9.11,17.13,5.94,0.63
9,4624,6.94,4.99,9.51,17.74,5.91,0.58
16,1615,6.93,5.01,9.35,17.82,5.87,0.59
24,3684,6.93,5.14,9.18,17.65,5.78,0.61
13,4074,6.93,4.92,9.61,17.54,5.87,0.58
3,7100,6.92,5.0,9.23,17.52,5.85,0.6
25,3982,6.91,5.07,9.14,17.61,5.82,0.61
2,5293,6.89,5.09,9.39,18.14,5.78,0.57
12,5590,6.88,5.11,9.37,18.0,5.76,0.58
33,5989,6.87,5.12,9.27,18.07,5.74,0.58
15,3663,6.86,5.02,9.1,17.57,5.79,0.61
8,3635,6.8,5.22,9.12,17.23,5.28,0.63
20,3523,6.8,4.89,8.97,16.95,5.65,0.63
18,5824,6.8,5.15,9.28,17.89,5.6,0.59
32,1862,6.77,4.91,8.65,16.16,5.6,0.69
5,2639,6.74,5.18,9.26,17.57,5.5,0.6
10,13427,6.73,5.17,9.15,17.66,5.51,0.61
11,3403,6.7,5.04,8.87,16.93,5.48,0.64
28,2727,6.46,5.19,9.07,16.89,5.26,0.65
