cluster_35,Vicinal/Mixed,{100},{110},{111},{210},{211},{221},{310},{311},{320},{321},{322},{331},{332},{410},{411},{421},{430},{431},{432},{433},{441},{510},{511},{521},{522},{530},{531},{711},Всего в кластере
0,294,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,620,611,0,0,589,0,0,0,0,0,0,0,2132
1,0,0,104,0,0,624,1,0,0,0,1643,0,19,0,0,0,1844,16,723,3,0,24,0,0,96,555,0,143,0,5795
2,0,0,0,0,0,10,0,0,2293,0,0,0,0,0,0,938,107,0,0,0,0,0,0,0,1404,541,0,0,0,5293
3,0,0,78,0,0,0,139,0,46,0,26,0,1380,0,0,427,0,0,2691,0,0,692,0,17,1602,2,0,0,0,7100
4,0,0,0,2436,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,579,0,0,0,0,0,0,0,0,3032
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,359,0,0,0,0,0,2280,2639
6,0,0,0,0,0,332,264,0,0,0,0,1702,0,2021,0,0,2,0,0,1121,224,0,0,0,0,0,0,0,0,5666
7,0,0,0,0,0,1,314,0,0,0,1342,0,0,2,0,0,1237,0,168,1427,0,0,0,0,110,0,0,1285,0,5886
8,8,3336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,0,0,0,0,0,26,3635
9,0,0,0,0,0,0,7,0,0,0,0,379,0,1270,0,0,524,0,0,1174,1128,0,0,0,112,0,0,30,0,4624
10,118,0,0,0,967,0,0,5014,0,0,0,0,0,0,3353,0,0,0,0,0,0,0,3281,115,366,0,0,0,213,13427
11,0,0,0,0,1555,0,0,3,0,379,0,0,0,0,0,0,0,269,0,0,0,0,0,0,0,0,1197,0,0,3403
12,185,0,0,0,0,0,220,7,0,0,320,0,511,0,1,1573,0,0,522,0,0,0,0,1523,679,0,0,49,0,5590
13,0,0,0,713,0,0,6,0,0,0,0,17,0,1983,0,0,0,0,0,4,1351,0,0,0,0,0,0,0,0,4074
14,0,0,0,0,0,158,3237,0,0,0,334,0,186,8,0,0,0,0,666,1119,0,0,0,0,0,6,0,108,0,5822
15,4,0,0,0,376,8,0,0,0,0,0,0,0,0,0,0,124,0,419,1,0,0,0,0,298,0,0,2433,0,3663
16,0,0,136,0,0,522,0,0,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,753,0,0,0,1615
17,0,0,0,0,43,191,0,0,63,0,640,0,0,0,0,0,687,0,142,1350,0,0,0,0,76,127,0,0,0,3319
18,143,0,0,0,100,0,0,112,0,0,0,0,0,0,131,360,0,0,0,0,0,0,23,2463,696,0,0,0,1796,5824
19,6,0,1328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,820,0,0,0,0,0,0,0,2154
20,0,0,0,0,0,1274,0,0,670,0,0,92,0,0,0,558,0,0,0,0,0,0,0,22,0,907,0,0,0,3523
21,0,0,0,0,0,654,0,0,0,0,0,1288,0,0,0,0,0,0,0,56,960,0,0,0,0,0,0,0,0,2958
22,0,0,475,0,0,298,490,0,25,0,911,0,1735,0,0,26,0,4,351,1004,0,925,0,2,25,9,0,0,0,6280
23,0,0,243,0,0,0,0,0,0,696,0,0,0,0,0,0,0,2321,3,0,0,8,0,0,0,6,53,0,0,3330
24,0,0,129,0,1155,0,0,438,0,472,0,0,0,0,7,0,0,836,0,0,0,0,43,0,0,0,604,0,0,3684
25,0,0,0,0,830,0,0,0,0,667,0,0,0,0,0,0,0,714,66,0,0,0,0,0,0,0,1004,701,0,3982
26,0,0,0,0,0,1382,0,0,341,0,0,0,0,0,0,0,0,0,0,698,0,0,0,0,4,1109,0,0,0,3534
27,0,0,0,0,16,16,0,0,0,318,2,0,0,0,0,0,171,236,1564,0,0,23,0,0,0,0,210,2214,0,4770
28,13,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,915,0,0,0,0,0,1547,2727
29,0,0,0,66,0,0,185,0,0,0,0,68,0,598,0,0,0,0,0,1419,48,0,0,0,0,0,0,0,0,2384
30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,284,0,0,1941,0,0,0,0,0,0,0,2226
31,0,0,0,8,0,740,0,0,100,0,0,684,0,0,0,0,0,0,0,0,704,0,0,0,0,382,0,0,0,2618
32,0,0,1780,0,0,0,2,0,0,0,0,0,1,0,0,0,0,68,0,0,0,11,0,0,0,0,0,0,0,1862
33,24,0,0,0,702,35,16,302,0,0,0,0,0,0,0,0,230,0,0,0,2,0,0,0,4392,10,0,276,0,5989
34,0,0,0,0,0,2,0,0,0,0,2450,0,0,0,0,0,2130,0,46,2,0,0,0,0,292,0,0,465,0,5387
