family,|hkl|^2,g(R=50),g(R=100),g(R=200),g(R=316)
{100},1,8.165,11.547,16.33,20.526
{110},2,5.774,8.165,11.547,14.514
{111},3,4.714,6.667,9.428,11.851
{210},5,3.651,5.164,7.303,9.18
{211},6,3.333,4.714,6.667,8.38
{221},9,2.722,3.849,5.443,6.842
{310},10,2.582,3.651,5.164,6.491
{311},11,2.462,3.482,4.924,6.189
{320},13,2.265,3.203,4.529,5.693
{321},14,2.182,3.086,4.364,5.486
{410},17,1.98,2.801,3.961,4.978
{322},17,1.98,2.801,3.961,4.978
{411},18,1.925,2.722,3.849,4.838
{331},19,1.873,2.649,3.746,4.709
{421},21,1.782,2.52,3.563,4.479
{332},22,1.741,2.462,3.482,4.376
{430},25,1.633,2.309,3.266,4.105
{431},26,1.601,2.265,3.203,4.026
{510},26,1.601,2.265,3.203,4.026
{511},27,1.571,2.222,3.143,3.95
{432},29,1.516,2.144,3.032,3.812
{521},30,1.491,2.108,2.981,3.748
{441},33,1.421,2.01,2.843,3.573
{522},33,1.421,2.01,2.843,3.573
{530},34,1.4,1.98,2.801,3.52
{433},34,1.4,1.98,2.801,3.52
{531},35,1.38,1.952,2.76,3.47
{711},51,1.143,1.617,2.287,2.874
