metric,mean,ci_lo (95%),ci_hi (95%),ci_half_width,n_queries,model,spatial_split_deg
cluster_coherence@10,0.9571,0.9536,0.9606,0.0035,5000,simclr,0.0
precision@10_miller,0.9104,0.9051,0.9154,0.0051,5000,simclr,0.0
mean_similarity@10,0.99,0.9898,0.9902,0.0002,5000,simclr,0.0
cluster_coherence@10,0.9499,0.9461,0.9538,0.0039,5000,simclr,12.0
precision@10_miller,0.892,0.8865,0.8978,0.0057,5000,simclr,12.0
mean_similarity@10,0.9841,0.9837,0.9845,0.0004,5000,simclr,12.0
cluster_coherence@10,0.8677,0.8615,0.8737,0.0061,5000,flatten,0.0
precision@10_miller,0.801,0.794,0.8076,0.0068,5000,flatten,0.0
mean_similarity@10,0.9984,0.9983,0.9985,0.0001,5000,flatten,0.0
cluster_coherence@10,0.5854,0.5734,0.597,0.0118,5000,flatten,12.0
precision@10_miller,0.4341,0.4231,0.4455,0.0112,5000,flatten,12.0
mean_similarity@10,0.9956,0.9953,0.996,0.0004,5000,flatten,12.0
